r4a id,smiles
R4A_0003462_001,CCCOC(=O)c1ccc(O)cc1
R4A_0004634_001,[H][C@](C(C=CC6=C5OCO6)=C5C(O4)=O)4[C@]2([H])C1=CC3=C(OCO3)C=C1CC[N+](C)2C
R4A_0001427_001,CN[C@H](CC(O)=O)C(O)=O
R4A_0001777_001,CN1CCc2cc3OCOc3cc2C1[C@@H]1OC(=O)c2c1ccc1OCOc21
R4A_0002871_001,N[C@@H](CSS(O)(=O)=O)C(O)=O
R4A_0003165_001,O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4
R4A_0004356_001,Cc1onc(O)c1CC(N)C(O)=O
R4A_0000623_001,OC(=O)C1CN(CCCP(O)(O)=O)CCN1
R4A_0003467_001,NC(=N)S\C=C/C(O)=O
R4A_0000862_001,N[C@]1(CC[C@@H](C1)C(O)=O)C(O)=O.N[C@@]1(CC[C@H](C1)C(O)=O)C(O)=O
R4A_0000171_001,N[C@@H](Cn1oc(=O)[nH]c1=O)C(O)=O
R4A_0003865_001,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+]([O-])=O
R4A_0003804_001,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N
R4A_0001448_001,OC(=O)Cc1cccnc1C(O)=O
R4A_0000037_001,N[C@@H](CS(O)=O)C(O)=O
R4A_0004484_001,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O
R4A_0001327_001,OC(=O)c1cc(O)c2ccccc2n1
R4A_0001157_001,OC(=O)c1cccnc1C(O)=O
R4A_0003599_001,OC(=O)C1=CCCNC1
R4A_0002185_001,OC(=O)C1=CCNCC1
R4A_0004188_001,OC(=O)c1cc(O)c2ccc(Cl)cc2n1
R4A_0004620_001,NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1
R4A_0002029_001,NCC(CS(O)(=O)=O)c1ccc(Cl)cc1
R4A_0004356_001,Cc1onc(O)c1C[C@H](N)C(O)=O
R4A_0001321_002,N[C@@H]1CCN(O)C1=O
R4A_0001321_001,N[C@H]1CCN(O)C1=O
R4A_0001704_001,NC(C(O)=O)c1cc(O)no1
R4A_0000309_001,OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1
R4A_0005400_001,NCc1cc(O)no1
R4A_0001277_001,NC(C(O)=O)c1ccc(C(O)=O)c(O)c1
R4A_0004271_001,NC(C(O)=O)c1nnn[nH]1
R4A_0001277_002,N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1
R4A_0000538_002,N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
R4A_0000538_001,N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
R4A_0001432_001,NC(C(O)=O)c1cc(O)cc(O)c1
R4A_0000143_001,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2[C@@H]4Oc6c7c(C[C@H]8N(CC9CC9)CC[C@@]47[C@@]8(O)Cc2c1C[C@@]35O)ccc6O
R4A_0005240_001,C1CN=C(N1)c1cc2ccccc2o1
R4A_0005226_001,CN1CCN(CC1)C(C)=O
R4A_0002664_001,CC(=O)N1CC[N+](C)(C)CC1
R4A_0002932_001,CC(=O)NCCc1c[nH]c2ccccc12
R4A_0001947_001,C(C(N1CCCCC1)c1ccccc1)c1ccccc1
R4A_0004328_001,NS(=O)(=O)c1cccc2c1c(cc1[nH]c(=O)c(=O)[nH]c21)[N+]([O-])=O
R4A_0001899_001,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
R4A_0004041_001,CN1CCC=C(C1)C(=O)OCC#C
R4A_0000657_001,CC(CN)CC(O)=O
R4A_0003087_001,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
R4A_0000601_001,CC(=O)NCC(=O)N[C@H](CCC(O)=O)C(O)=O
R4A_0004666_001,CCCCOC(=O)c1cc2c(cn1)[nH]c1ccccc21
R4A_0000452_001,O=C1CC2(CCCC2)CC(=O)N1CCNCC1COc2ccccc2O1
R4A_0001323_001,O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2O1
R4A_0004126_001,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1
R4A_0003239_001,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC
R4A_0003192_001,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC
R4A_0000673_001,Fc1ccc(cc1)C(OCCN1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1
R4A_0002741_001,Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1
R4A_0005136_001,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1
R4A_0005078_001,Brc1c(NC2=NCCN2)ccc2nccnc12
R4A_0001237_001,C(N1CCC2(CCc3ccccc23)CC1)c1ccccc1
R4A_0003207_001,Clc1cccc2c(cccc12)S(=O)(=O)N1CCCNCC1
R4A_0000510_001,Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1
R4A_0005256_001,Clc1cccc2c(cccc12)S(=O)(=O)NCCCCCCc1ccccc1
R4A_0000447_001,CC(C)NCC(O)c1ccc(N)c(c1)C#N
R4A_0003117_001,CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C
R4A_0000932_001,CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)C1CCCC1
R4A_0000734_001,NC(=N)NC(=N)Nc1cccc(Cl)c1
R4A_0005469_001,NC(=N)Nc1ccc(Cl)cc1
R4A_0002442_001,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
R4A_0003259_001,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
R4A_0004717_001,NCCc1c[nH]c2ccc(cc12)C(N)=O
R4A_0003833_001,CN(C)CCCSc1ccccc1NC(=O)\C=C\c1ccccc1
R4A_0001791_001,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
R4A_0000809_001,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1
R4A_0002899_001,CCN(CC)CCOC(=O)C1(CCCC1)c1ccc(cc1)[N+]([O-])=O
R4A_0000703_001,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
R4A_0002448_001,CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
R4A_0003631_001,NP(N)(=O)NC(=O)c1ccc(F)cc1
R4A_0003625_001,COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1
R4A_0001539_001,C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1
R4A_0004420_001,Oc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O
R4A_0000563_001,CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1
R4A_0004546_001,Oc1ccc(C=C(C#N)C#N)cc1O
R4A_0004517_001,CN([C@H]1CCCC[C@@H]1N1CCCC1)C(=O)Cc1ccc(Cl)c(Cl)c1
R4A_0004343_001,NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N
R4A_0001980_001,CN([C@@H]1CCCC[C@@H]1N1CCCC1)C(=O)c1ccc(Cl)c(Cl)c1
R4A_0003260_001,CCNCCCNCCCCNCCCNCC
R4A_0003480_001,[I+]1c2ccccc2-c2ccccc12
R4A_0003077_001,CN(C)CCCSC(N)=N
R4A_0003205_001,[O-][N+](=O)c1ccc(cc1)-c1ccc(\C=N\N2CC(=O)NC2=O)o1
R4A_0000169_001,CN(CCN1CCCC1)CCc1ccc(Cl)c(Cl)c1
R4A_0004235_001,CN(C)CCCCSC(N)=N
R4A_0004899_001,C(CN1CCN(C\C=C\c2ccccc2)CC1)OC(c1ccccc1)c1ccccc1
R4A_0003671_001,C(CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1
R4A_0001619_001,CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O
R4A_0004009_001,Fc1ccc(cc1)C(N1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1
R4A_0001039_001,Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1
R4A_0000179_001,CCCN(CCC)C1CCc2cccc(O)c2C1
R4A_0003424_001,Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1
R4A_0000068_001,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1
R4A_0003778_001,OC\C=C\C(O)=O
R4A_0004321_001,O=S(=O)(N1CCNCC1)c1cccc2cnccc12
